13	-13	3.07174	2.2379	6.05892	10.0386
14	-14	3.07215	2.23784	6.06327	10.0311
15	-15	3.07257	2.2378	6.06771	10.0236
16	-16	3.073	2.23775	6.07223	10.0162
17	-17	3.07344	2.23771	6.07684	10.0087
18	-18	3.07389	2.23767	6.08153	10.0014
19	-19	3.07436	2.23763	6.08631	9.99401
20	-20	3.07484	2.23759	6.09117	9.9867
21	-21	3.07533	2.23756	6.09612	9.97943
22	-22	3.07583	2.23753	6.10116	9.97219
23	-23	3.07635	2.2375	6.10627	9.96498
24	-24	3.07688	2.23747	6.11147	9.95782
25	-25	3.07742	2.23744	6.11676	9.95069
26	-26	3.07797	2.23742	6.12213	9.9436
27	-27	3.07854	2.2374	6.12758	9.93654
28	-28	3.07912	2.23738	6.13312	9.92952
29	-29	3.07971	2.23737	6.13874	9.92254
30	-30	3.08032	2.23735	6.14444	9.91559
31	-31	3.08094	2.23734	6.15022	9.90868
32	-32	3.08157	2.23733	6.15609	9.90181
33	-33	3.08222	2.23732	6.16204	9.89497
34	-34	3.08288	2.23732	6.16807	9.88817
35	-35	3.08356	2.23732	6.17418	9.88141
36	-36	3.08425	2.23731	6.18037	9.87469
37	-37	3.08495	2.23731	6.18665	9.868
38	-38	3.08567	2.23732	6.193	9.86135
39	-39	3.08641	2.23732	6.19944	9.85474
40	-40	3.08716	2.23732	6.20596	9.84816
41	-41	3.08792	2.23733	6.21255	9.84162
42	-42	3.0887	2.23734	6.21923	9.83512
43	-43	3.08949	2.23735	6.22599	9.82866
44	-44	3.0903	2.23736	6.23282	9.82224
45	-45	3.09113	2.23738	6.23974	9.81585
46	-46	3.09197	2.23739	6.24673	9.8095
47	-47	3.09282	2.23741	6.2538	9.80319
48	-48	3.0937	2.23743	6.26095	9.79692
49	-49	3.09458	2.23745	6.26818	9.79069
50	-50	3.09549	2.23747	6.27549	9.78449
51	-51	3.09641	2.23749	6.28287	9.77834
52	-52	3.09735	2.23751	6.29033	9.77222
53	-53	3.0983	2.23754	6.29787	9.76614
54	-54	3.09927	2.23756	6.30548	9.7601
55	-55	3.10026	2.23759	6.31318	9.75409
56	-56	3.10126	2.23762	6.32094	9.74813
57	-57	3.10229	2.23765	6.32879	9.7422
58	-58	3.10333	2.23768	6.33671	9.73632
59	-59	3.10438	2.23771	6.3447	9.73047
60	-60	3.10546	2.23774	6.35277	9.72466
61	-61	3.10655	2.23777	6.36091	9.71889
62	-62	3.10766	2.23781	6.36913	9.71316
63	-63	3.10879	2.23784	6.37742	9.70747
64	-64	3.10993	2.23788	6.38579	9.70182
65	-65	3.1111	2.23791	6.39423	9.6962
66	-66	3.11228	2.23795	6.40274	9.69063
67	-67	3.11348	2.23799	6.41133	9.6851
68	-68	3.1147	2.23803	6.41999	9.6796
69	-69	3.11594	2.23806	6.42872	9.67415
70	-70	3.1172	2.2381	6.43752	9.66873
71	-71	3.11848	2.23814	6.4464	9.66336
72	-72	3.11977	2.23818	6.45534	9.65802
73	-73	3.12109	2.23822	6.46436	9.65272
74	-74	3.12242	2.23826	6.47345	9.64747
75	-75	3.12378	2.2383	6.48261	9.64225
76	-76	3.12515	2.23834	6.49184	9.63708
77	-77	3.12654	2.23838	6.50114	9.63194
78	-78	3.12796	2.23842	6.51051	9.62685
79	-79	3.12939	2.23846	6.51994	9.62179
80	-80	3.13084	2.2385	6.52945	9.61678
81	-81	3.13231	2.23854	6.53903	9.6118
82	-82	3.1338	2.23858	6.54867	9.60687
83	-83	3.13532	2.23862	6.55839	9.60197
84	-84	3.13685	2.23866	6.56817	9.59712
85	-85	3.1384	2.2387	6.57802	9.59231
86	-86	3.13997	2.23874	6.58793	9.58754
87	-87	3.14156	2.23877	6.59792	9.58281
88	-88	3.14318	2.23881	6.60797	9.57812
89	-89	3.14481	2.23885	6.61808	9.57347
90	-90	3.14646	2.23888	6.62827	9.56886
91	-91	3.14813	2.23892	6.63851	9.56429
92	-92	3.14982	2.23895	6.64883	9.55977
93	-93	3.15154	2.23899	6.65921	9.55528
94	-94	3.15327	2.23902	6.66965	9.55084
95	-95	3.15502	2.23905	6.68016	9.54643
96	-96	3.15679	2.23908	6.69073	9.54207
97	-97	3.15858	2.23911	6.70137	9.53775
98	-98	3.16039	2.23914	6.71207	9.53347
99	-99	3.16223	2.23917	6.72283	9.52924

