-12	1.24248	1.00976	0.895478	8.22292	8.33829	7.21695
-11.4	1.2424	1.00978	0.895511	8.21152	8.33741	7.21591
-10.8	1.24232	1.00981	0.895544	8.20018	8.33653	7.21488
-10.2	1.24223	1.00983	0.895576	8.18891	8.33566	7.21385
-9.6	1.24215	1.00986	0.895608	8.17771	8.3348	7.21282
-9	1.24207	1.00988	0.895639	8.16658	8.33394	7.21179
-8.4	1.24199	1.00991	0.895668	8.15552	8.3331	7.21076
-7.8	1.24191	1.00993	0.895698	8.14453	8.33227	7.20974
-7.2	1.24183	1.00996	0.895726	8.1336	8.33144	7.20872
-6.6	1.24175	1.00998	0.895754	8.12275	8.33062	7.2077
-6	1.24167	1.01001	0.895781	8.11197	8.32982	7.20668
-5.4	1.24159	1.01004	0.895807	8.10125	8.32902	7.20567
-4.8	1.24151	1.01006	0.895832	8.09061	8.32823	7.20465
-4.2	1.24144	1.01009	0.895857	8.08004	8.32745	7.20364
-3.6	1.24136	1.01011	0.895881	8.06954	8.32667	7.20263
-3	1.24128	1.01014	0.895904	8.05911	8.32591	7.20162
-2.4	1.2412	1.01016	0.895927	8.04875	8.32516	7.20062
-1.8	1.24113	1.01019	0.895948	8.03846	8.32441	7.19962
-1.2	1.24105	1.01022	0.895969	8.02825	8.32367	7.19861
-0.6	1.24097	1.01024	0.89599	8.01811	8.32295	7.19762
0	1.2409	1.01027	0.896009	8.00804	8.32223	7.19662
0.6	1.24082	1.0103	0.896028	7.99805	8.32152	7.19562
1.2	1.24075	1.01032	0.896046	7.98813	8.32082	7.19463
1.8	1.24067	1.01035	0.896064	7.97828	8.32012	7.19364
2.4	1.2406	1.01037	0.89608	7.9685	8.31944	7.19265
3	1.24053	1.0104	0.896096	7.9588	8.31877	7.19166
3.6	1.24045	1.01043	0.896111	7.94918	8.3181	7.19068
4.2	1.24038	1.01046	0.896126	7.93963	8.31745	7.1897
4.8	1.24031	1.01048	0.89614	7.93015	8.3168	7.18872
5.4	1.24024	1.01051	0.896153	7.92075	8.31616	7.18774
6	1.24017	1.01054	0.896166	7.91143	8.31553	7.18676
6.6	1.2401	1.01056	0.896178	7.90218	8.31491	7.18579
7.2	1.24003	1.01059	0.896189	7.89301	8.3143	7.18482
7.8	1.23997	1.01062	0.896199	7.88391	8.31369	7.18384
8.4	1.2399	1.01065	0.896209	7.87489	8.3131	7.18288
9	1.23983	1.01068	0.896218	7.86595	8.31251	7.18191
9.6	1.23977	1.0107	0.896227	7.85708	8.31194	7.18095
10.2	1.2397	1.01073	0.896235	7.8483	8.31137	7.17998
10.8	1.23964	1.01076	0.896242	7.83959	8.31081	7.17902
11.4	1.23958	1.01079	0.896248	7.83095	8.31026	7.17807
12	1.23952	1.01082	0.896254	7.8224	8.30972	7.17711
12.6	1.23946	1.01085	0.89626	7.81392	8.30919	7.17616
13.2	1.2394	1.01088	0.896264	7.80553	8.30867	7.17521
13.8	1.23934	1.01091	0.896268	7.79721	8.30816	7.17426
14.4	1.23928	1.01094	0.896272	7.78897	8.30765	7.17331
15	1.23923	1.01097	0.896275	7.78081	8.30716	7.17236
15.6	1.23917	1.011	0.896277	7.77273	8.30667	7.17142
16.2	1.23912	1.01103	0.896279	7.76473	8.30619	7.17048
16.8	1.23906	1.01106	0.89628	7.75681	8.30572	7.16954
17.4	1.23901	1.01109	0.89628	7.74897	8.30526	7.1686
18	1.23896	1.01112	0.89628	7.74121	8.30481	7.16767
18.6	1.23891	1.01115	0.896279	7.73354	8.30437	7.16673
19.2	1.23886	1.01118	0.896278	7.72594	8.30394	7.1658
19.8	1.23882	1.01122	0.896276	7.71843	8.30351	7.16487
20.4	1.23877	1.01125	0.896274	7.71099	8.3031	7.16395
21	1.23873	1.01128	0.89627	7.70364	8.30269	7.16302
21.6	1.23868	1.01131	0.896267	7.69637	8.30229	7.1621
22.2	1.23864	1.01135	0.896263	7.68919	8.30191	7.16118
22.8	1.2386	1.01138	0.896258	7.68208	8.30153	7.16026
23.4	1.23856	1.01141	0.896252	7.67506	8.30116	7.15934
24	1.23853	1.01145	0.896247	7.66812	8.3008	7.15843
24.6	1.23849	1.01148	0.89624	7.66127	8.30044	7.15752
25.2	1.23846	1.01152	0.896233	7.6545	8.3001	7.15661
25.8	1.23842	1.01155	0.896226	7.64781	8.29977	7.1557
26.4	1.23839	1.01158	0.896217	7.6412	8.29944	7.15479
27	1.23836	1.01162	0.896209	7.63468	8.29912	7.15389
27.6	1.23833	1.01166	0.896199	7.62825	8.29882	7.15299
28.2	1.23831	1.01169	0.89619	7.6219	8.29852	7.15209
28.8	1.23828	1.01173	0.896179	7.61563	8.29823	7.15119
29.4	1.23826	1.01176	0.896168	7.60945	8.29795	7.15029
30	1.23823	1.0118	0.896157	7.60336	8.29768	7.1494
30.6	1.23821	1.01184	0.896145	7.59735	8.29742	7.14851
31.2	1.2382	1.01187	0.896133	7.59142	8.29716	7.14762
31.8	1.23818	1.01191	0.896119	7.58558	8.29692	7.14673
32.4	1.23816	1.01195	0.896106	7.57983	8.29668	7.14585
33	1.23815	1.01199	0.896092	7.57416	8.29646	7.14496
33.6	1.23814	1.01203	0.896077	7.56858	8.29624	7.14408
34.2	1.23813	1.01207	0.896062	7.56309	8.29603	7.1432
34.8	1.23812	1.0121	0.896046	7.55768	8.29583	7.14233
35.4	1.23811	1.01214	0.89603	7.55236	8.29564	7.14145
36	1.23811	1.01218	0.896013	7.54713	8.29546	7.14058
